name,street,postcode,place,lat,lng,source_priority,source_url,google_place_id,google_rating,google_maps_url
Wachstube,,01069,Dresden,51.042529,13.7522293,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJ3zE9kVfPCUcR48_FQ9oDWlg,4.5,https://maps.google.com/?cid=6366405259216408547&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Emilienstraße 20,,01139,Dresden,51.0930015,13.6914355,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJPTuBozPOCUcRcFaHP4LQtGQ,,https://maps.google.com/?cid=7256654157430871664&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Moselbruchweg 11,,01609,Röderaue-Frauenhain,51.3901798,13.4871559,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJdbL4w2qGp0cRdpjuFUD_5yo,,https://maps.google.com/?cid=3091720319924082806&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Freizeithof Nieschütz,,01665,Nieschütz,51.2213751,13.4178334,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJ25x5DhF_p0cR9L62_5E9Tzg,4.3,https://maps.google.com/?cid=4057529486553825012&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Gießener Straße,,01734,Rabenau-Londorf,50.6722209,8.8695916,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJLSHz6kzzvEcR_l-RjmGK_kw,,https://maps.google.com/?cid=5548023942575382526&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Talsperre Malter,,01744,Dippoldiswalde-Paulsdorf,50.9175638,13.6558376,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJg4drEqvDCUcRGJ2sjy3jpRU,4.5,https://maps.google.com/?cid=1559902630777232664&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Ahorn Waldhotel Altenberg,,01773,Altenberg,50.7753636,13.6895217,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJi0hRk2HsCUcRQATtKrYcdDo,4.1,https://maps.google.com/?cid=4212023120228058176&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
"Hotel ""Neue Schänke""",,01824,Königstein,50.9221197,14.0511749,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJFwm7BFe7CUcRKyaD9UOkq5U,4.7,https://maps.google.com/?cid=10784894344457561643&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Forellenschänke,,01855,Sebnitz,50.9722458,14.294296,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJZT6t9nWoCUcRiK98L6-wDYc,5,https://maps.google.com/?cid=9731628636279975816&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bahnhofstraße 1,,01877,Demitz-Thumitz,51.1413762,14.2451993,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJ4WsH6tCsCUcRsxhdZImvQk0,,https://maps.google.com/?cid=5567205094012557491&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
